Tue Jan 17 13:12:14 JST 2023,,,,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,W-SCE,SCE,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,utility,W-SCEÇ≈è„è∏Ç∑ÇÈå¯óp,
107,58,655,2343,4866,4866,58,7922,3000,12132,0.144497224,0.249581824,0,0,0.605920952,1019.815456,1719.924176,-700.1087197,
108,0,26,935,1949,1949,0,2910,2600,6700,0.271293351,0.41744181,0,0,0.311264839,-1268.157188,-1377.845588,109.6884,
109,0,149,240,2569,2569,0,2958,3000,7148,0.314234769,0.263645214,0,0,0.422120017,-636.0157632,-1209.887772,573.8720088,
110,398,708,1602,5782,5782,398,8490,5000,14660,0.016978695,0.178489241,0,0,0.804532064,3295.005303,367.7358911,2927.269412,
111,0,171,1063,1156,1156,0,2390,2600,6180,0.54868709,0.230254288,0,0,0.221058622,-1654.479528,-3007.472499,1352.992971,
112,0,373,532,3736,3736,0,4641,3400,9241,0.099539015,0.171641344,0,0,0.728819642,1677.329046,573.0539857,1104.275061,
113,0,259,524,797,797,0,1580,2600,5360,0.729544016,0.01336908,0,0,0.257086904,-982.5408899,-2437.425048,1454.884158,
114,0,268,1891,1183,1891,0,3342,3400,7932,0.592026675,0.366336349,0,0,0.041636976,-3145.36121,-3844.178935,698.8177247,
115,164,337,500,1544,1544,164,2545,2200,5995,0.582992801,0.022513895,0,0,0.394493305,-988.8464854,-954.6524189,-34.19406652,
116,170,203,570,1947,1947,170,2890,2600,6690,0.231921736,0.401065939,0,0,0.367012325,-1060.844358,-1199.19966,138.3553025,
117,149,1296,4181,3397,4181,149,9023,4200,14413,0.147990202,0.241769802,0,0,0.610239996,109.7389078,198.3230779,-88.58417009,
118,0,752,887,5277,5277,0,6916,3800,11916,0.336624393,0.1575774,0,0,0.505798208,-257.7912756,-627.9307952,370.1395196,
119,0,1557,2057,10290,10290,0,13904,5800,20924,0.37887194,0.058313695,0,0,0.562814365,185.3049322,-1114.512025,1299.816957,
120,0,224,502,3901,3901,0,4627,3000,8807,0.28724823,0.306964183,0,0,0.405787588,-667.0127255,-1077.814418,410.8016928,
121,0,338,873,4987,4987,0,6198,2600,10008,0.311500833,0.492424348,0,0,0.196074818,-2233.160352,-2822.446429,589.2860764,
122,387,482,4302,3210,4302,387,8381,4200,13791,0.089762057,0.273303435,0,0,0.636934508,593.4283722,138.1464952,455.281877,
123,392,633,3432,2320,3432,392,6777,3400,11367,0.28225928,0.308833187,0,0,0.408907533,-1719.825072,-1992.199903,272.3748319,
124,0,418,544,1528,1528,0,2490,3400,7060,0.414572472,0.270348965,0,0,0.315078563,-1470.031894,-1331.998731,-138.0331624,
125,153,103,1057,864,1057,103,2177,2600,5987,0.102187179,0.560256492,0,0,0.337556329,-1357.099628,-1127.545866,-229.5537623,
126,0,0,1322,1303,1322,0,2625,3000,6805,0.499823025,0.40020518,0,0,0.099971795,-2380.488266,-2273.484746,-107.00352,
127,0,234,1071,1042,1071,0,2347,3000,6547,0.7929303,0.032770641,0,0,0.174299059,-1772.645043,-1002.5953,-770.0497429,
128,0,77,472,1076,1076,0,1625,2200,5035,0.355812148,0.440811146,0,0,0.203376707,-1329.145924,-1229.583833,-99.56209095,
129,0,229,1066,3397,3397,0,4692,2600,8452,0.095026715,0.373066195,0,0,0.53190709,391.0509316,-621.0478845,1012.098816,
130,0,253,1214,5593,5593,0,7060,2600,10850,0.45483784,0.272239811,0,0,0.272922349,-2392.523961,-2740.476283,347.9523225,
131,0,118,961,4114,4114,0,5193,3400,9773,0.335297885,0.128854961,0,0,0.535847154,25.16640866,-549.4899562,574.6563649,
132,0,233,415,3814,3814,0,4462,2600,8302,0.242422694,0.687439874,0,0,0.070137432,-2601.529566,-2394.011459,-207.5181077,
133,0,139,1078,3156,3156,0,4373,2600,8163,0.418024212,0.296490348,0,0,0.28548544,-1697.902737,-1940.042146,242.1394087,
134,0,327,1137,1301,1301,0,2765,2600,6525,0.40656523,0.179750585,0,0,0.413684185,-1053.301256,-1187.1055,133.8042439,
135,40,652,2557,9247,9247,40,12496,3000,16696,0.048533454,0.487220634,0,0,0.464245913,2206.176178,-663.2344883,2869.410666,
136,123,494,1148,4800,4800,123,6565,4200,11975,0.198107456,0.300086179,0,0,0.501806364,-213.9890377,-395.9840991,181.9950614,
137,0,327,1390,1454,1454,0,3171,3000,7361,0.440917226,0.22493979,0,0,0.334142984,-1587.123994,-1634.950831,47.82683753,
138,114,0,575,696,696,0,1385,2600,5165,0.401761597,0.385028732,0,0,0.213209671,-1409.120583,-1558.662034,149.5414515,
139,44,0,1010,1008,1010,0,2062,2600,5852,0.484560503,0.44898412,0,0,0.066455377,-2099.402539,-2176.238762,76.83622291,
140,0,433,3248,7376,7376,0,11057,3400,15677,0.346402117,0.207887762,0,0,0.445710121,-1249.428746,-866.882031,-382.5467152,
141,108,513,3113,1973,3113,108,5707,3400,10317,0.224458594,0.162118304,0,0,0.613423101,11.14898634,-176.2659348,187.4149211,
142,44,255,434,940,940,44,1673,3400,6233,0.517605962,0.468983018,0,0,0.01341102,-2448.480762,-2536.416979,87.93621652,
143,0,275,1398,5988,5988,0,7661,2600,11461,0.353075027,0.48625501,0,0,0.160669963,-3007.079073,-3569.085422,562.006349,
144,128,524,721,2792,2792,128,4165,2600,7975,0.233983366,0.4545194,0,0,0.311497235,-1326.462525,-1737.851033,411.3885079,
145,147,172,1324,3793,3793,147,5436,2600,9246,0.122210014,0.62418106,0,0,0.253608926,-1362.546252,-1592.978188,230.4319356,
146,0,130,1374,4947,4947,0,6451,4600,12231,0.238933184,0.155133665,0,0,0.605933151,742.5784702,117.6152825,624.9631877,
147,0,118,2265,1736,2265,0,4119,3400,8659,0.412916546,0.09533445,0,0,0.491749003,-911.1288929,-775.4077477,-135.7211451,
148,166,284,742,4729,4729,166,5921,3000,10171,0.389604011,0.087068989,0,0,0.523326999,-180.1112204,-181.3963471,1.285126662,
149,169,682,3176,2580,3176,169,6607,4200,12037,0.327892903,0.325110602,0,0,0.346996495,-2488.43448,-1392.589374,-1095.845105,
150,30,466,616,2544,2544,30,3656,2600,7456,0.348084354,0.613043298,0,0,0.038872348,-2768.783888,-2372.776961,-396.0069271,
151,41,339,2385,5359,5359,41,8124,3000,12354,0.466219436,0.09935852,0,0,0.434422043,-1775.385835,-1402.483032,-372.9028027,
152,0,294,562,3958,3958,0,4814,3400,9384,0.157512296,0.036351096,0,0,0.806136607,2308.830768,522.661483,1786.169285,
153,49,6,549,716,716,6,1320,2600,5090,0.268962005,0.481947145,0,0,0.24909085,-1431.237919,-1379.565888,-51.6720302,
154,0,263,748,4722,4722,0,5733,2600,9583,0.293433184,0.647881728,0,0,0.058685088,-3089.633951,-3007.697876,-81.93607496,
155,25,0,223,596,596,0,844,2600,4624,0.221837338,0.364320518,0,0,0.413842144,-887.8141418,-867.4003976,-20.41374424,
156,0,367,3124,6969,6969,0,10460,3400,15100,0.682880027,0.07261514,0,0,0.244504833,-5685.862376,-2822.371652,-2863.490725,
157,0,9,909,3048,3048,0,3966,2600,7736,0.322106261,0.53690382,0,0,0.14098992,-2243.686087,-3446.712376,1203.026289,
158,326,162,2029,1662,2029,162,4179,3000,8419,0.4418703,0.25731476,0,0,0.30081494,-2056.898769,-2235.051483,178.1527146,
159,0,317,1754,4712,4712,0,6783,3000,10993,0.034571083,0.363924144,0,0,0.601504773,1508.022404,2568.215794,-1060.19339,
160,17,340,1560,4459,4459,17,6376,3400,10976,0.129687684,0.369307194,0,0,0.501005123,142.9316248,-23.71430852,166.6459333,
161,147,530,3814,1211,3814,147,5702,3800,10712,0.478670924,0.122552447,0,0,0.398776629,-1732.767006,-498.4631907,-1234.303816,
