Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
227,5073,234,907,2200,1732,3000,9313,5073,0,,,,,,,,,,
228,6965,155,880,2977,2953,3400,11565,6965,0,,,,,,,,,,
229,4067,0,446,836,2785,3000,8277,4067,0,,,,,,,,,,
230,1004,0,0,430,574,2600,4804,1004,0,,,,,,,,,,
231,4493,0,201,2643,1649,2600,8293,4493,0,,,,,,,,,,
232,16610,339,1785,2710,11776,3000,20860,16610,0,,,,,,,,,,
233,12577,343,1149,9127,1958,3400,17187,12577,0,,,,,,,,,,
234,5412,154,487,2537,2234,3400,10002,5412,0,,,,,,,,,,
235,4339,0,43,1436,2860,2600,8109,4339,0,,,,,,,,,,
236,11788,336,1202,6419,3831,4600,17618,11788,0,,,,,,,,,,
237,1769,0,332,315,1122,3000,5959,1769,0,,,,,,,,,,
238,2930,207,120,1934,669,2600,6720,2930,0,,,,,,,,,,
239,6010,339,520,1350,3801,4600,11810,6010,0,,,,,,,,,,
240,13711,200,281,2991,10239,3400,18291,13711,0,,,,,,,,,,
241,3749,0,435,699,2615,2600,7519,3749,0,,,,,,,,,,
242,4856,145,1029,906,2776,3000,9046,4856,0,,,,,,,,,,
243,5931,0,1918,1303,2710,3800,10951,5931,0,,,,,,,,,,
244,15033,413,1325,9649,3646,3400,19663,15033,0,,,,,,,,,,
245,3287,0,136,682,2469,2600,7067,3287,0,,,,,,,,,,
246,9032,126,1332,1034,6540,2600,12852,9032,0,,,,,,,,,,
247,1843,196,143,271,1233,2200,5273,1843,0,,,,,,,,,,
248,5894,0,2798,1947,1149,3400,10484,5894,0,,,,,,,,,,
249,2891,195,285,550,1861,2600,6691,2891,0,,,,,,,,,,
250,2083,0,150,712,1221,3400,6663,2083,0,,,,,,,,,,
251,19709,1107,4331,7071,7200,4600,25549,19709,0,,,,,,,,,,
252,2481,0,334,455,1692,2600,6261,2481,0,,,,,,,,,,
253,5073,152,291,2348,2282,3400,9663,5073,0,,,,,,,,,,
254,3962,166,1056,938,1802,3400,8542,3962,0,,,,,,,,,,
255,3617,0,215,2759,643,2600,7417,3617,0,,,,,,,,,,
256,10888,383,521,2023,7961,2600,14688,10888,0,,,,,,,,,,
257,3693,0,462,675,2556,3000,7913,3693,0,,,,,,,,,,
258,1948,201,0,510,1237,2200,5358,1948,0,,,,,,,,,,
259,3926,0,509,669,2748,2600,7736,3926,0,,,,,,,,,,
260,2418,0,35,585,1798,3000,6588,2418,0,,,,,,,,,,
261,12847,0,1017,2774,9056,2600,16647,12847,0,,,,,,,,,,
262,5105,379,575,2133,2018,2600,8875,5105,0,,,,,,,,,,
263,1226,0,263,370,593,3000,5396,1226,0,,,,,,,,,,
264,7478,305,497,3410,3266,3800,12468,7478,0,,,,,,,,,,
265,4666,557,455,804,2850,3400,9246,4666,0,,,,,,,,,,
266,7941,363,1730,1660,4188,2600,11721,7941,0,,,,,,,,,,
267,15376,374,1918,1937,11147,3000,19586,15376,0,,,,,,,,,,
268,11186,647,2513,4063,3963,4200,16616,11186,0,,,,,,,,,,
269,2435,65,419,724,1227,3000,6635,2435,0,,,,,,,,,,
270,7123,93,1427,2863,2740,2600,10913,7123,0,,,,,,,,,,
271,3024,72,1421,952,579,2600,6834,3024,0,,,,,,,,,,
272,7159,140,1678,3124,2217,2600,10949,7159,0,,,,,,,,,,
273,4785,0,2180,617,1988,3000,8975,4785,0,,,,,,,,,,
274,15431,733,2645,3750,8303,4600,21231,15431,0,,,,,,,,,,
275,4333,380,349,872,2732,2600,8103,4333,0,,,,,,,,,,
276,12411,391,1763,1220,9037,3000,16611,12411,0,,,,,,,,,,
277,12365,1023,2635,3861,4846,5000,18585,12365,0,,,,,,,,,,
