Tue Jan 17 00:24:37 JST 2023,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
129,0,640,635,1076,2351,2600,6111,0.53190709,0.373066195,0.095026715,0,0,-2801.193932
130,0,589,1671,5523,7783,2600,11573,0.272922349,0.272239811,0.45483784,0,0,-8095.816469
131,65,238,981,1765,3049,3400,7629,0.535847154,0.128854961,0.335297885,0,0,-4629.892404
132,68,337,1090,1390,2885,2600,6725,0.070137432,0.687439874,0.242422694,0,0,-3619.982782
133,0,303,1576,2895,4774,2600,8564,0.28548544,0.296490348,0.418024212,0,0,-5713.741746
134,111,648,925,1520,3204,2600,6964,0.413684185,0.179750585,0.40656523,0,0,-4624.115911
135,0,862,3072,969,4903,3800,9903,0.464245913,0.487220634,0.048533454,0,0,-4608.26291
136,123,863,856,2670,4512,2600,8322,0.501806364,0.300086179,0.198107456,0,0,-4693.024634
137,0,80,1603,2885,4568,2600,8358,0.334142984,0.22493979,0.440917226,0,0,-5796.394777
138,114,219,336,586,1255,3000,5435,0.213209671,0.385028732,0.401761597,0,0,-3606.238612
139,55,0,379,1910,2344,2600,6134,0.066455377,0.44898412,0.484560503,0,0,-4295.424243
140,0,889,675,2169,3733,2600,7553,0.445710121,0.207887762,0.346402117,0,0,-4820.719254
141,108,0,1252,969,2329,2600,6139,0.613423101,0.162118304,0.224458594,0,0,-3228.121305
142,59,0,1292,1227,2578,2600,6338,0.01341102,0.468983018,0.517605962,0,0,-4534.516042
143,0,454,3067,2199,5720,4200,11120,0.160669963,0.48625501,0.353075027,0,0,-6887.497533
144,128,1108,1421,664,3321,3000,7531,0.311497235,0.4545194,0.233983366,0,0,-4160.169242
145,147,1168,2835,4371,8521,2600,12331,0.253608926,0.62418106,0.122210014,0,0,-5290.844099
146,86,673,687,2672,4118,3000,8298,0.605933151,0.155133665,0.238933184,0,0,-4943.301271
147,0,705,833,1364,2902,2600,6642,0.491749003,0.09533445,0.412916546,0,0,-4417.516879
148,50,0,990,3106,4146,2200,7596,0.523326999,0.087068989,0.389604011,0,0,-5320.697586
149,165,62,1896,1487,3610,2600,7440,0.346996495,0.325110602,0.327892903,0,0,-4537.46811
150,30,247,559,1574,2410,2600,6210,0.038872348,0.613043298,0.348084354,0,0,-3849.198771
151,41,112,2069,2843,5065,2600,8895,0.434422043,0.09935852,0.466219436,0,0,-6605.701689
152,119,877,889,1602,3487,3400,8057,0.806136607,0.036351096,0.157512296,0,0,-4203.668649
153,0,0,430,546,976,2600,4746,0.24909085,0.481947145,0.268962005,0,0,-2772.668921
154,0,237,662,3409,4308,3000,8558,0.058685088,0.647881728,0.293433184,0,0,-4707.66173
155,66,0,225,752,1043,2600,4823,0.413842144,0.364320518,0.221837338,0,0,-2448.792184
156,46,190,1481,3241,4958,3000,9198,0.244504833,0.07261514,0.682880027,0,0,-7711.230871
157,558,1595,1722,1001,4876,3800,9846,0.14098992,0.53690382,0.322106261,0,0,-5899.159606
158,146,81,2970,1848,5045,3400,9685,0.30081494,0.25731476,0.4418703,0,0,-6671.995411
159,99,905,5120,7191,13315,3400,17925,0.601504773,0.363924144,0.034571083,0,0,-9866.0648
160,73,855,2406,3785,7119,2600,10919,0.501005123,0.369307194,0.129687684,0,0,-5942.913989
161,0,0,186,1750,1936,2200,5346,0.398776629,0.122552447,0.478670924,0,0,-3600.621696
